Ticker,Date,Open,High,Low,Close,Volume,Daily Return,7D MA,30D MA,30D RV
AAPL,2010-06-28,34.191,34.545,33.874,34.36,163083315,,,,
AAPL,2010-06-29,33.856,33.856,32.565,32.806,315472195,-4.522700814901048,,,
AAPL,2010-06-30,32.877,33.036,32.02,32.212,205878957,-1.810644394318095,,,
AAPL,2010-07-01,32.542,32.629,31.147,31.823,285057573,-1.2076244877685438,,,
AAPL,2010-07-02,32.103,32.132,31.144,31.623,193495389,-0.6284762593093074,,,
AAPL,2010-07-06,31.623,32.375,31.527,31.842,171357527,0.6925339151883092,,,
AAPL,2010-07-07,32.095,33.139,31.984,33.125,182036901,4.029269518246337,32.54157142857143,,
AAPL,2010-07-08,33.626,33.668,32.641,33.052,205559578,-0.2203773584905644,32.35471428571428,,
AAPL,2010-07-09,32.899,33.282,32.678,33.247,120771554,0.5899794263584557,32.41771428571429,,
AAPL,2010-07-12,33.108,33.532,32.637,32.95,156720330,-0.8933136824375021,32.52314285714285,,
AAPL,2010-07-13,32.811,32.836,31.559,32.248,331165575,-2.130500758725362,32.58385714285714,,
AAPL,2010-07-14,31.91,32.756,31.887,32.365,226423690,0.36281319771769294,32.68985714285714,,
AAPL,2010-07-15,31.795,32.909,31.667,32.2,228822034,-0.5098099799165756,32.741,,
AAPL,2010-07-16,32.407,32.653,31.813,32.004,289535967,-0.6086956521739295,32.58085714285714,,
AAPL,2010-07-19,31.982,32.001,30.683,31.449,285432579,-1.7341582302212055,32.35185714285715,,
AAPL,2010-07-20,31.052,32.388,30.737,32.26,295145985,2.578778339533838,32.210857142857144,,
AAPL,2010-07-21,33.936,33.955,32.526,32.556,330180600,0.9175449473031616,32.15457142857143,,
AAPL,2010-07-22,33.004,33.295,32.695,33.171,179777113,1.8890527091780296,32.28642857142857,,
AAPL,2010-07-23,32.939,33.347,32.82,33.288,148640952,0.35271773537124407,32.418285714285716,,
AAPL,2010-07-26,33.293,33.309,33.003,33.204,116242953,-0.25234318673394984,32.56171428571428,,
AAPL,2010-07-27,33.382,33.91,33.336,33.82,161964837,1.8551981688953223,32.82114285714285,,
AAPL,2010-07-28,33.768,34.065,33.329,33.419,144771462,-1.1856889414547656,33.10257142857143,,
AAPL,2010-07-29,33.387,33.634,32.797,33.055,179422840,-1.0892007540620474,33.216142857142856,,
AAPL,2010-07-30,32.75,33.257,32.643,32.944,124974375,-0.3358039630918075,33.27157142857143,,
AAPL,2010-08-02,33.352,33.627,33.247,33.532,118919147,1.7848470131131444,33.323142857142855,,
AAPL,2010-08-03,33.532,33.712,33.223,33.544,116136901,0.035786711201235555,33.35971428571428,,
